Emoji,English,Português
🐜,ant,formiga
🦡,badger,texugo
🦇,bat,morcego
🦫,beaver,castor
🪲,beetle,besouro
🐦,bird,passaro
🦬,bison,bisao
🐡,blowfish,baiacu
🐃,buffalo,bufalo
🐛,bug,inseto
🦋,butterfly,borboleta
🐫,camel,camelo
🐈,cat,gato
🐤,chick,pintinho
🐿️,chipmunk,esquilo
🪳,cockroach,barata
🪸,coral,coral
🐄,cow,vaca
🦀,crab,caranguejo
🦗,cricket,grilo
🐊,crocodile,crocodilo
🦌,deer,veado
🦤,dodo,dodo
🐕,dog,cachorro
🐬,dolphin,golfinho
🕊️,dove,pombo
🐪,dromedary,dromedario
🦆,duck,pato
🦅,eagle,aguia
🐘,elephant,elefante
🐟,fish,peixe
🦩,flamingo,flamingo
🪰,fly,mosca
🦒,giraffe,girafa
🐐,goat,cabra
🪿,goose,ganso
🦍,gorilla,gorila
🦔,hedgehog,ourico
🦛,hippopotamus,hipopotamo
🐝,honeybee,abelha
🐎,horse,cavalo
🪼,jellyfish,medusa
🦘,kangaroo,canguru
🐞,ladybeetle,joaninha
🐆,leopard,leopardo
🦎,lizard,lagarto
🦙,llama,llama
🦞,lobster,lagosta
🦣,mammoth,mamute
🐒,monkey,macaco
🦟,mosquito,mosquito
🐁,mouse,camundongo
🐙,octopus,polvo
🦧,orangutan,orangotango
🦦,otter,lontra
🦉,owl,coruja
🐂,ox,boi
🦜,parrot,papagaio
🦚,peacock,pavao
🐧,penguin,pinguim
🐖,pig,porco
🐩,poodle,poodle
🐇,rabbit,coelho
🐏,ram,carneiro
🐀,rat,rato
🦏,rhinoceros,rinoceronte
🐓,rooster,galo
🦕,sauropod,sauropode
🦂,scorpion,escorpiao
🦭,seal,foca
🐑,sheep,ovelha
🦐,shrimp,camarao
🦨,skunk,gamba
🦥,sloth,preguica
🐌,snail,caracol
🐍,snake,serpente
🕷️,spider,aranha
🦑,squid,lula
🦢,swan,cisne
🦖,t-rex,t-rex
🐅,tiger,tigre
🦃,turkey,peru
🐢,turtle,tartaruga
🪱,worm,verme
🐋,whale,baleia
